Date,store_id,daily_sales,promotion_active,store_size,city_population,day_of_week,month,day_of_month,is_weekend,time_idx
2021-01-01,store_1,80.6249906601833,1,small,50000,4,1,1,1,0
2021-01-02,store_1,96.43404792178096,1,small,50000,5,1,2,1,1
2021-01-03,store_1,64.70292815497443,0,small,50000,6,1,3,1,2
2021-01-04,store_1,44.81799918839948,0,small,50000,0,1,4,0,3
2021-01-05,store_1,47.624079640204336,0,small,50000,1,1,5,0,4
2021-01-06,store_1,47.34844473855757,0,small,50000,2,1,6,0,5
2021-01-07,store_1,50.61777796461216,0,small,50000,3,1,7,0,6
2021-01-08,store_1,77.20099267213101,1,small,50000,4,1,8,1,7
2021-01-09,store_1,102.26670360330802,1,small,50000,5,1,9,1,8
2021-01-10,store_1,58.1565532654609,0,small,50000,6,1,10,1,9
2021-01-11,store_1,47.59549263698736,0,small,50000,0,1,11,0,10
2021-01-12,store_1,50.79247929211459,0,small,50000,1,1,12,0,11
2021-01-13,store_1,49.244442209716986,0,small,50000,2,1,13,0,12
2021-01-14,store_1,68.4999874947469,1,small,50000,3,1,14,0,13
2021-01-15,store_1,81.00938987483775,1,small,50000,4,1,15,1,14
2021-01-16,store_1,97.1868399205366,1,small,50000,5,1,16,1,15
2021-01-17,store_1,92.57306718043627,1,small,50000,6,1,17,1,16
2021-01-18,store_1,43.840624518467,0,small,50000,0,1,18,0,17
2021-01-19,store_1,51.13404799315908,0,small,50000,1,1,19,0,18
2021-01-20,store_1,51.66214129603702,0,small,50000,2,1,20,0,19
2021-01-21,store_1,50.072839013825266,0,small,50000,3,1,21,0,20
2021-01-22,store_1,75.90961660845078,1,small,50000,4,1,22,1,21
2021-01-23,store_1,95.90541095181624,1,small,50000,5,1,23,1,22
2021-01-24,store_1,64.30599935279918,0,small,50000,6,1,24,1,23
2021-01-25,store_1,46.11624903354055,0,small,50000,0,1,25,0,24
2021-01-26,store_1,46.22841486763669,0,small,50000,1,1,26,0,25
2021-01-27,store_1,76.91776358442897,1,small,50000,2,1,27,0,26
2021-01-28,store_1,57.57949963686629,0,small,50000,3,1,28,0,27
2021-01-29,store_1,85.86350914801756,1,small,50000,4,1,29,1,28
2021-01-30,store_1,97.26506101719434,1,small,50000,5,1,30,1,29
2021-01-31,store_1,64.40441333180388,0,small,50000,6,1,31,1,30
